nome_mun,CD_GEOCODI,cod_rgi,nome_rgi,cod_rgint,nome_rgint,cod_uf,estado,sigla
Itapuã do Oeste,1101104,110001,Porto Velho,1101,Porto Velho,11,Rondônia,RO
Candeias do Jamari,1100809,110001,Porto Velho,1101,Porto Velho,11,Rondônia,RO
Nova Mamoré,1100338,110001,Porto Velho,1101,Porto Velho,11,Rondônia,RO
Porto Velho,1100205,110001,Porto Velho,1101,Porto Velho,11,Rondônia,RO
Guajará-Mirim,1100106,110001,Porto Velho,1101,Porto Velho,11,Rondônia,RO
Monte Negro,1101401,110002,Ariquemes,1101,Porto Velho,11,Rondônia,RO
Cujubim,1100940,110002,Ariquemes,1101,Porto Velho,11,Rondônia,RO
Campo Novo de Rondônia,1100700,110002,Ariquemes,1101,Porto Velho,11,Rondônia,RO
Cacaulândia,1100601,110002,Ariquemes,1101,Porto Velho,11,Rondônia,RO
Buritis,1100452,110002,Ariquemes,1101,Porto Velho,11,Rondônia,RO
Alto Paraíso,1100403,110002,Ariquemes,1101,Porto Velho,11,Rondônia,RO
Rio Crespo,1100262,110002,Ariquemes,1101,Porto Velho,11,Rondônia,RO
Ariquemes,1100023,110002,Ariquemes,1101,Porto Velho,11,Rondônia,RO
Vale do Anari,1101757,110003,Jaru,1101,Porto Velho,11,Rondônia,RO
Theobroma,1101609,110003,Jaru,1101,Porto Velho,11,Rondônia,RO
Governador Jorge Teixeira,1101005,110003,Jaru,1101,Porto Velho,11,Rondônia,RO
Machadinho D'Oeste,1100130,110003,Jaru,1101,Porto Velho,11,Rondônia,RO
Jaru,1100114,110003,Jaru,1101,Porto Velho,11,Rondônia,RO
Vale do Paraíso,1101807,110004,Ji-Paraná,1102,Ji-Paraná,11,Rondônia,RO
Urupá,1101708,110004,Ji-Paraná,1102,Ji-Paraná,11,Rondônia,RO
Teixeirópolis,1101559,110004,Ji-Paraná,1102,Ji-Paraná,11,Rondônia,RO
Seringueiras,1101500,110004,Ji-Paraná,1102,Ji-Paraná,11,Rondônia,RO
São Francisco do Guaporé,1101492,110004,Ji-Paraná,1102,Ji-Paraná,11,Rondônia,RO
Nova União,1101435,110004,Ji-Paraná,1102,Ji-Paraná,11,Rondônia,RO
Mirante da Serra,1101302,110004,Ji-Paraná,1102,Ji-Paraná,11,Rondônia,RO
Alvorada D'Oeste,1100346,110004,Ji-Paraná,1102,Ji-Paraná,11,Rondônia,RO
São Miguel do Guaporé,1100320,110004,Ji-Paraná,1102,Ji-Paraná,11,Rondônia,RO
Presidente Médici,1100254,110004,Ji-Paraná,1102,Ji-Paraná,11,Rondônia,RO
Ouro Preto do Oeste,1100155,110004,Ji-Paraná,1102,Ji-Paraná,11,Rondônia,RO
Ji-Paraná,1100122,110004,Ji-Paraná,1102,Ji-Paraná,11,Rondônia,RO
Costa Marques,1100080,110004,Ji-Paraná,1102,Ji-Paraná,11,Rondônia,RO
São Felipe D'Oeste,1101484,110005,Cacoal,1102,Ji-Paraná,11,Rondônia,RO
Primavera de Rondônia,1101476,110005,Cacoal,1102,Ji-Paraná,11,Rondônia,RO
Parecis,1101450,110005,Cacoal,1102,Ji-Paraná,11,Rondônia,RO
Ministro Andreazza,1101203,110005,Cacoal,1102,Ji-Paraná,11,Rondônia,RO
Castanheiras,1100908,110005,Cacoal,1102,Ji-Paraná,11,Rondônia,RO
Novo Horizonte do Oeste,1100502,110005,Cacoal,1102,Ji-Paraná,11,Rondônia,RO
Alto Alegre dos Parecis,1100379,110005,Cacoal,1102,Ji-Paraná,11,Rondônia,RO
Santa Luzia D'Oeste,1100296,110005,Cacoal,1102,Ji-Paraná,11,Rondônia,RO
Rolim de Moura,1100288,110005,Cacoal,1102,Ji-Paraná,11,Rondônia,RO
Pimenta Bueno,1100189,110005,Cacoal,1102,Ji-Paraná,11,Rondônia,RO
Nova Brasilândia D'Oeste,1100148,110005,Cacoal,1102,Ji-Paraná,11,Rondônia,RO
Espigão D'Oeste,1100098,110005,Cacoal,1102,Ji-Paraná,11,Rondônia,RO
Cacoal,1100049,110005,Cacoal,1102,Ji-Paraná,11,Rondônia,RO
Alta Floresta D'Oeste,1100015,110005,Cacoal,1102,Ji-Paraná,11,Rondônia,RO
Pimenteiras do Oeste,1101468,110006,Vilhena,1102,Ji-Paraná,11,Rondônia,RO
Chupinguaia,1100924,110006,Vilhena,1102,Ji-Paraná,11,Rondônia,RO
Vilhena,1100304,110006,Vilhena,1102,Ji-Paraná,11,Rondônia,RO
Corumbiara,1100072,110006,Vilhena,1102,Ji-Paraná,11,Rondônia,RO
Colorado do Oeste,1100064,110006,Vilhena,1102,Ji-Paraná,11,Rondônia,RO
Cerejeiras,1100056,110006,Vilhena,1102,Ji-Paraná,11,Rondônia,RO
Cabixi,1100031,110006,Vilhena,1102,Ji-Paraná,11,Rondônia,RO
Porto Acre,1200807,120001,Rio Branco,1201,Rio Branco,12,Acre,AC
Senador Guiomard,1200450,120001,Rio Branco,1201,Rio Branco,12,Acre,AC
Rio Branco,1200401,120001,Rio Branco,1201,Rio Branco,12,Acre,AC
