cod_rgi,nome_rgi,cod_rgint,nome_rgint,cod_uf,estado
110001,Porto Velho,1101,Porto Velho,11,Rondônia
110002,Ariquemes,1101,Porto Velho,11,Rondônia
110003,Jaru,1101,Porto Velho,11,Rondônia
110004,Ji-Paraná,1102,Ji-Paraná,11,Rondônia
110005,Cacoal,1102,Ji-Paraná,11,Rondônia
110006,Vilhena,1102,Ji-Paraná,11,Rondônia
120001,Rio Branco,1201,Rio Branco,12,Acre
120002,Brasiléia,1201,Rio Branco,12,Acre
120003,Sena Madureira,1201,Rio Branco,12,Acre
120004,Cruzeiro do Sul,1202,Cruzeiro do Sul,12,Acre
120005,Tarauacá,1202,Cruzeiro do Sul,12,Acre
130001,Manaus,1301,Manaus,13,Amazonas
130002,São Gabriel da Cachoeira,1301,Manaus,13,Amazonas
130003,Coari,1301,Manaus,13,Amazonas
130004,Manacapuru,1301,Manaus,13,Amazonas
130005,Tefé,1302,Tefé,13,Amazonas
130006,Tabatinga,1302,Tefé,13,Amazonas
130007,Eirunepé,1302,Tefé,13,Amazonas
130008,Lábrea,1303,Lábrea,13,Amazonas
130009,Manicoré,1303,Lábrea,13,Amazonas
130010,Parintins,1304,Parintins,13,Amazonas
130011,Itacoatiara,1304,Parintins,13,Amazonas
140001,Boa Vista,1401,Boa Vista,14,Roraima
140002,Pacaraima,1401,Boa Vista,14,Roraima
140003,Rorainópolis,1402,Rorainópolis - Caracaraí,14,Roraima
140004,Caracaraí,1402,Rorainópolis - Caracaraí,14,Roraima
150001,Belém,1501,Belém,15,Pará
150002,Cametá,1501,Belém,15,Pará
150003,Abaetetuba,1501,Belém,15,Pará
150004,Castanhal,1502,Castanhal,15,Pará
150005,Bragança,1502,Castanhal,15,Pará
150006,Capanema,1502,Castanhal,15,Pará
150007,Paragominas,1502,Castanhal,15,Pará
150008,Capitão Poço,1502,Castanhal,15,Pará
150009,Marabá,1503,Marabá,15,Pará
150010,Parauapebas,1503,Marabá,15,Pará
150011,Tucuruí,1503,Marabá,15,Pará
150012,Redenção,1504,Redenção,15,Pará
150013,Tucumã - São Félix do Xingu,1504,Redenção,15,Pará
150014,Xinguara,1504,Redenção,15,Pará
150015,Santarém,1505,Santarém,15,Pará
150016,Itaituba,1505,Santarém,15,Pará
150017,Oriximiná,1505,Santarém,15,Pará
150018,Altamira,1506,Altamira,15,Pará
150019,Almeirim - Porto de Moz,1506,Altamira,15,Pará
150020,Breves,1507,Breves,15,Pará
150021,Soure-Salvaterra,1507,Breves,15,Pará
160001,Macapá,1601,Macapá,16,Amapá
160002,Laranjal do Jari,1601,Macapá,16,Amapá
160003,Oiapoque,1602,Oiapoque - Porto Grande,16,Amapá
160004,Porto Grande,1602,Oiapoque - Porto Grande,16,Amapá
170001,Palmas,1701,Palmas,17,Tocantins
170002,Porto Nacional,1701,Palmas,17,Tocantins
170003,Paraíso do Tocantins,1701,Palmas,17,Tocantins
170004,Miracema do Tocantins,1701,Palmas,17,Tocantins
170005,Araguaína,1702,Araguaína,17,Tocantins
170006,Guaraí,1702,Araguaína,17,Tocantins
170007,Colinas do Tocantins,1702,Araguaína,17,Tocantins
170008,Tocantinópolis,1702,Araguaína,17,Tocantins
170009,Araguatins,1702,Araguaína,17,Tocantins
170010,Gurupi,1703,Gurupi,17,Tocantins
170011,Dianópolis,1703,Gurupi,17,Tocantins
210001,São Luís,2101,São Luís,21,Maranhão
210002,Pinheiro,2101,São Luís,21,Maranhão
210003,Chapadinha,2101,São Luís,21,Maranhão
210004,Itapecuru Mirim,2101,São Luís,21,Maranhão
210005,Viana,2101,São Luís,21,Maranhão
210006,Barreirinhas,2101,São Luís,21,Maranhão
210007,Tutóia - Araioses,2101,São Luís,21,Maranhão
210008,Cururupu,2101,São Luís,21,Maranhão
210009,Santa Inês,2102,Santa Inês - Bacabal,21,Maranhão
210010,Bacabal,2102,Santa Inês - Bacabal,21,Maranhão
210011,Governador Nunes Freire,2102,Santa Inês - Bacabal,21,Maranhão
210012,Pedreiras,2102,Santa Inês - Bacabal,21,Maranhão
210013,Caxias,2103,Caxias,21,Maranhão
210014,Timon,2103,Caxias,21,Maranhão
210015,Codó,2103,Caxias,21,Maranhão
210016,Presidente Dutra,2104,Presidente Dutra,21,Maranhão
210017,São João dos Patos,2104,Presidente Dutra,21,Maranhão
210018,Colinas,2104,Presidente Dutra,21,Maranhão
210019,Imperatriz,2105,Imperatriz,21,Maranhão
210020,Barra do Corda,2105,Imperatriz,21,Maranhão
210021,Açailândia,2105,Imperatriz,21,Maranhão
210022,Balsas,2105,Imperatriz,21,Maranhão
220001,Teresina,2201,Teresina,22,Piauí
220002,Amarante - Água Branca - Regeneração,2201,Teresina,22,Piauí
