cod_rgint,nome_rgint,cod_uf,estado,sigla
1101,Porto Velho,11,Rondônia,RO
1102,Ji-Paraná,11,Rondônia,RO
1201,Rio Branco,12,Acre,AC
1202,Cruzeiro do Sul,12,Acre,AC
1301,Manaus,13,Amazonas,AM
1302,Tefé,13,Amazonas,AM
1303,Lábrea,13,Amazonas,AM
1304,Parintins,13,Amazonas,AM
1401,Boa Vista,14,Roraima,RR
1402,Rorainópolis - Caracaraí,14,Roraima,RR
1501,Belém,15,Pará,PA
1502,Castanhal,15,Pará,PA
1503,Marabá,15,Pará,PA
1504,Redenção,15,Pará,PA
1505,Santarém,15,Pará,PA
1506,Altamira,15,Pará,PA
1507,Breves,15,Pará,PA
1601,Macapá,16,Amapá,AP
1602,Oiapoque - Porto Grande,16,Amapá,AP
1701,Palmas,17,Tocantins,TO
1702,Araguaína,17,Tocantins,TO
1703,Gurupi,17,Tocantins,TO
2101,São Luís,21,Maranhão,MA
2102,Santa Inês - Bacabal,21,Maranhão,MA
2103,Caxias,21,Maranhão,MA
2104,Presidente Dutra,21,Maranhão,MA
2105,Imperatriz,21,Maranhão,MA
2201,Teresina,22,Piauí,PI
2202,Parnaíba,22,Piauí,PI
2203,Picos,22,Piauí,PI
2204,São Raimundo Nonato,22,Piauí,PI
2205,Corrente - Bom Jesus,22,Piauí,PI
2206,Floriano,22,Piauí,PI
2301,Fortaleza,23,Ceará,CE
2302,Quixadá,23,Ceará,CE
2303,Iguatu,23,Ceará,CE
2304,Juazeiro do Norte,23,Ceará,CE
2305,Crateús,23,Ceará,CE
2306,Sobral,23,Ceará,CE
2401,Natal,24,Rio Grande do Norte,RN
2402,Caicó,24,Rio Grande do Norte,RN
2403,Mossoró,24,Rio Grande do Norte,RN
2501,João Pessoa,25,Paraíba,PB
2502,Campina Grande,25,Paraíba,PB
2503,Patos,25,Paraíba,PB
2504,Sousa - Cajazeiras,25,Paraíba,PB
2601,Recife,26,Pernambuco,PE
2602,Caruaru,26,Pernambuco,PE
2603,Serra Talhada,26,Pernambuco,PE
2604,Petrolina,26,Pernambuco,PE
2701,Maceió,27,Alagoas,AL
2702,Arapiraca,27,Alagoas,AL
2801,Aracaju,28,Sergipe,SE
2802,Itabaiana,28,Sergipe,SE
2901,Salvador,29,Bahia,BA
2902,Santo Antônio de Jesus,29,Bahia,BA
2903,Ilhéus – Itabuna,29,Bahia,BA
2904,Vitória da Conquista,29,Bahia,BA
2905,Guanambi,29,Bahia,BA
2906,Barreiras,29,Bahia,BA
2907,Irecê,29,Bahia,BA
2908,Juazeiro,29,Bahia,BA
2909,Paulo Afonso,29,Bahia,BA
2910,Feira de Santana,29,Bahia,BA
3101,Belo Horizonte,31,Minas Gerais,MG
3102,Montes Claros,31,Minas Gerais,MG
3103,Teófilo Otoni,31,Minas Gerais,MG
3104,Governador Valadares,31,Minas Gerais,MG
3105,Ipatinga,31,Minas Gerais,MG
3106,Juíz de Fora,31,Minas Gerais,MG
3107,Barbacena,31,Minas Gerais,MG
3108,Varginha,31,Minas Gerais,MG
3109,Pouso Alegre,31,Minas Gerais,MG
3110,Uberaba,31,Minas Gerais,MG
3111,Uberlândia,31,Minas Gerais,MG
3112,Patos de Minas,31,Minas Gerais,MG
3113,Divinópolis,31,Minas Gerais,MG
3201,Vitória,32,Espírito Santo,ES
3202,São Mateus,32,Espírito Santo,ES
3203,Colatina,32,Espírito Santo,ES
3204,Cachoeiro do Itapemirim,32,Espírito Santo,ES
3301,Rio de Janeiro,33,Rio de Janeiro,RJ
3302,Volta Redonda - Barra Mansa,33,Rio de Janeiro,RJ
3303,Petrópolis,33,Rio de Janeiro,RJ
3304,Campos dos Goytacazes,33,Rio de Janeiro,RJ
3305,Macaé - Rio das Ostras - Cabo Frio,33,Rio de Janeiro,RJ
3501,São Paulo,35,São Paulo,SP
3502,Sorocaba,35,São Paulo,SP
3503,Bauru,35,São Paulo,SP
3504,Marília,35,São Paulo,SP
3505,Presidente Prudente,35,São Paulo,SP
3506,Araçatuba,35,São Paulo,SP
3507,São José do Rio Preto,35,São Paulo,SP
3508,Ribeirão Preto,35,São Paulo,SP
3509,Araraquara,35,São Paulo,SP
3510,Campinas,35,São Paulo,SP
3511,São José dos Campos,35,São Paulo,SP
4101,Curitiba,41,Paraná,PR
4102,Guarapuava,41,Paraná,PR
4103,Cascavel,41,Paraná,PR
4104,Maringá,41,Paraná,PR
4105,Londrina,41,Paraná,PR
