,data,sigla_estado,total_casos,total_obitos,novos_casos,novos_obitos,mm_7dias_novos_casos,mm_7dias_novos_obitos,pop,cod_uf,estado,total_casos%,total_obitos%,novos_casos%,novos_obitos%,mm_7dias_novos_casos%,mm_7dias_novos_obitos%
0,2020-02-25,SP,1.0,0.0,1.0,0.0,0.0,0.0,45919049,35,São Paulo,0.0021777454493885533,0.0,0.0021777454493885533,0.0,0.0,0.0
1,2020-02-26,SP,1.0,0.0,0.0,0.0,0.0,0.0,45919049,35,São Paulo,0.0021777454493885533,0.0,0.0,0.0,0.0,0.0
2,2020-02-27,SP,1.0,0.0,0.0,0.0,0.0,0.0,45919049,35,São Paulo,0.0021777454493885533,0.0,0.0,0.0,0.0,0.0
3,2020-02-28,SP,2.0,0.0,1.0,0.0,0.0,0.0,45919049,35,São Paulo,0.004355490898777107,0.0,0.0021777454493885533,0.0,0.0,0.0
4,2020-02-29,SP,2.0,0.0,0.0,0.0,0.0,0.0,45919049,35,São Paulo,0.004355490898777107,0.0,0.0,0.0,0.0,0.0
5,2020-03-01,SP,2.0,0.0,0.0,0.0,0.0,0.0,45919049,35,São Paulo,0.004355490898777107,0.0,0.0,0.0,0.0,0.0
6,2020-03-02,SP,2.0,0.0,0.0,0.0,0.2857142857142857,0.0,45919049,35,São Paulo,0.004355490898777107,0.0,0.0,0.0,0.0006222129855395866,0.0
7,2020-03-03,SP,2.0,0.0,0.0,0.0,0.14285714285714285,0.0,45919049,35,São Paulo,0.004355490898777107,0.0,0.0,0.0,0.0003111064927697933,0.0
8,2020-03-04,SP,3.0,0.0,1.0,0.0,0.2857142857142857,0.0,45919049,35,São Paulo,0.00653323634816566,0.0,0.0021777454493885533,0.0,0.0006222129855395866,0.0
9,2020-03-05,RJ,1.0,0.0,1.0,0.0,0.0,0.0,17264943,33,Rio de Janeiro,0.005792083993558507,0.0,0.005792083993558507,0.0,0.0,0.0
10,2020-03-05,SP,6.0,0.0,3.0,0.0,0.7142857142857143,0.0,45919049,35,São Paulo,0.01306647269633132,0.0,0.00653323634816566,0.0,0.0015555324638489667,0.0
11,2020-03-06,BA,1.0,0.0,1.0,0.0,0.0,0.0,14873064,29,Bahia,0.0067235641559802335,0.0,0.0067235641559802335,0.0,0.0,0.0
12,2020-03-06,RJ,2.0,0.0,1.0,0.0,0.0,0.0,17264943,33,Rio de Janeiro,0.011584167987117014,0.0,0.005792083993558507,0.0,0.0,0.0
13,2020-03-06,SP,6.0,0.0,0.0,0.0,0.5714285714285714,0.0,45919049,35,São Paulo,0.01306647269633132,0.0,0.0,0.0,0.0012444259710791732,0.0
14,2020-03-07,BA,2.0,0.0,1.0,0.0,0.0,0.0,14873064,29,Bahia,0.013447128311960467,0.0,0.0067235641559802335,0.0,0.0,0.0
15,2020-03-07,DF,1.0,0.0,1.0,0.0,0.0,0.0,3015268,53,Distrito Federal,0.0331645478942502,0.0,0.0331645478942502,0.0,0.0,0.0
16,2020-03-07,RJ,2.0,0.0,0.0,0.0,0.0,0.0,17264943,33,Rio de Janeiro,0.011584167987117014,0.0,0.0,0.0,0.0,0.0
17,2020-03-07,SP,13.0,0.0,7.0,0.0,1.4285714285714286,0.0,45919049,35,São Paulo,0.028310690842051192,0.0,0.015244218145719874,0.0,0.0031110649276979334,0.0
18,2020-03-08,AL,1.0,0.0,1.0,0.0,0.0,0.0,3337357,27,Alagoas,0.0299638306600103,0.0,0.0299638306600103,0.0,0.0,0.0
19,2020-03-08,BA,2.0,0.0,0.0,0.0,0.0,0.0,14873064,29,Bahia,0.013447128311960467,0.0,0.0,0.0,0.0,0.0
20,2020-03-08,DF,1.0,0.0,0.0,0.0,0.0,0.0,3015268,53,Distrito Federal,0.0331645478942502,0.0,0.0,0.0,0.0,0.0
21,2020-03-08,MG,1.0,0.0,1.0,0.0,0.0,0.0,21168791,31,Minas Gerais,0.004723935344252773,0.0,0.004723935344252773,0.0,0.0,0.0
22,2020-03-08,RJ,3.0,0.0,1.0,0.0,0.0,0.0,17264943,33,Rio de Janeiro,0.017376251980675522,0.0,0.005792083993558507,0.0,0.0,0.0
23,2020-03-08,SP,16.0,0.0,3.0,0.0,1.8571428571428572,0.0,45919049,35,São Paulo,0.03484392719021685,0.0,0.00653323634816566,0.0,0.0040443844060073135,0.0
24,2020-03-09,AL,1.0,0.0,0.0,0.0,0.0,0.0,3337357,27,Alagoas,0.0299638306600103,0.0,0.0,0.0,0.0,0.0
25,2020-03-09,BA,2.0,0.0,0.0,0.0,0.0,0.0,14873064,29,Bahia,0.013447128311960467,0.0,0.0,0.0,0.0,0.0
26,2020-03-09,DF,1.0,0.0,0.0,0.0,0.0,0.0,3015268,53,Distrito Federal,0.0331645478942502,0.0,0.0,0.0,0.0,0.0
27,2020-03-09,MG,1.0,0.0,0.0,0.0,0.0,0.0,21168791,31,Minas Gerais,0.004723935344252773,0.0,0.0,0.0,0.0,0.0
28,2020-03-09,RJ,3.0,0.0,0.0,0.0,0.0,0.0,17264943,33,Rio de Janeiro,0.017376251980675522,0.0,0.0,0.0,0.0,0.0
29,2020-03-09,SP,16.0,0.0,0.0,0.0,1.8571428571428572,0.0,45919049,35,São Paulo,0.03484392719021685,0.0,0.0,0.0,0.0040443844060073135,0.0
30,2020-03-10,AL,1.0,0.0,0.0,0.0,0.0,0.0,3337357,27,Alagoas,0.0299638306600103,0.0,0.0,0.0,0.0,0.0
31,2020-03-10,BA,2.0,0.0,0.0,0.0,0.0,0.0,14873064,29,Bahia,0.013447128311960467,0.0,0.0,0.0,0.0,0.0
32,2020-03-10,DF,1.0,0.0,0.0,0.0,0.0,0.0,3015268,53,Distrito Federal,0.0331645478942502,0.0,0.0,0.0,0.0,0.0
33,2020-03-10,MG,1.0,0.0,0.0,0.0,0.0,0.0,21168791,31,Minas Gerais,0.004723935344252773,0.0,0.0,0.0,0.0,0.0
34,2020-03-10,RJ,3.0,0.0,0.0,0.0,0.0,0.0,17264943,33,Rio de Janeiro,0.017376251980675522,0.0,0.0,0.0,0.0,0.0
35,2020-03-10,RS,1.0,0.0,1.0,0.0,0.0,0.0,11377239,43,Rio Grande do Sul,0.008789478712717558,0.0,0.008789478712717558,0.0,0.0,0.0
36,2020-03-10,SP,19.0,0.0,3.0,0.0,2.2857142857142856,0.0,45919049,35,São Paulo,0.041377163538382514,0.0,0.00653323634816566,0.0,0.004977703884316693,0.0
37,2020-03-11,AL,1.0,0.0,0.0,0.0,0.0,0.0,3337357,27,Alagoas,0.0299638306600103,0.0,0.0,0.0,0.0,0.0
38,2020-03-11,BA,3.0,0.0,1.0,0.0,0.0,0.0,14873064,29,Bahia,0.0201706924679407,0.0,0.0067235641559802335,0.0,0.0,0.0
39,2020-03-11,DF,2.0,0.0,1.0,0.0,0.0,0.0,3015268,53,Distrito Federal,0.0663290957885004,0.0,0.0331645478942502,0.0,0.0,0.0
40,2020-03-11,MG,1.0,0.0,0.0,0.0,0.0,0.0,21168791,31,Minas Gerais,0.004723935344252773,0.0,0.0,0.0,0.0,0.0
41,2020-03-11,RJ,3.0,0.0,0.0,0.0,0.14285714285714285,0.0,17264943,33,Rio de Janeiro,0.017376251980675522,0.0,0.0,0.0,0.0008274405705083581,0.0
42,2020-03-11,RS,2.0,0.0,1.0,0.0,0.0,0.0,11377239,43,Rio Grande do Sul,0.017578957425435117,0.0,0.008789478712717558,0.0,0.0,0.0
43,2020-03-11,SP,30.0,0.0,11.0,0.0,3.7142857142857144,0.0,45919049,35,São Paulo,0.0653323634816566,0.0,0.023955199943274087,0.0,0.008088768812014627,0.0
44,2020-03-12,AL,1.0,0.0,0.0,0.0,0.0,0.0,3337357,27,Alagoas,0.0299638306600103,0.0,0.0,0.0,0.0,0.0
45,2020-03-12,BA,3.0,0.0,0.0,0.0,0.42857142857142855,0.0,14873064,29,Bahia,0.0201706924679407,0.0,0.0,0.0,0.0028815274954201,0.0
46,2020-03-12,DF,2.0,0.0,0.0,0.0,0.0,0.0,3015268,53,Distrito Federal,0.0663290957885004,0.0,0.0,0.0,0.0,0.0
47,2020-03-12,GO,3.0,0.0,3.0,0.0,0.0,0.0,7018354,52,Goiás,0.04274506529593691,0.0,0.04274506529593691,0.0,0.0,0.0
48,2020-03-12,MG,2.0,0.0,1.0,0.0,0.0,0.0,21168791,31,Minas Gerais,0.009447870688505547,0.0,0.004723935344252773,0.0,0.0,0.0
49,2020-03-12,PE,2.0,0.0,2.0,0.0,0.0,0.0,9557071,26,Pernambuco,0.020926913695629133,0.0,0.020926913695629133,0.0,0.0,0.0
50,2020-03-12,PR,6.0,0.0,6.0,0.0,0.0,0.0,11433957,41,Paraná,0.05247527168415973,0.0,0.05247527168415973,0.0,0.0,0.0
51,2020-03-12,RJ,15.0,0.0,12.0,0.0,1.8571428571428572,0.0,17264943,33,Rio de Janeiro,0.08688125990337761,0.0,0.06950500792270209,0.0,0.010756727416608656,0.0
52,2020-03-12,RN,1.0,0.0,1.0,0.0,0.0,0.0,3506853,24,Rio Grande do Norte,0.028515595036347402,0.0,0.028515595036347402,0.0,0.0,0.0
53,2020-03-12,RS,4.0,0.0,2.0,0.0,0.0,0.0,11377239,43,Rio Grande do Sul,0.035157914850870234,0.0,0.017578957425435117,0.0,0.0,0.0
54,2020-03-12,SC,2.0,0.0,2.0,0.0,0.0,0.0,7164788,42,Santa Catarina,0.02791429418428012,0.0,0.02791429418428012,0.0,0.0,0.0
55,2020-03-12,SP,46.0,0.0,16.0,0.0,5.428571428571429,0.0,45919049,35,São Paulo,0.10017629067187345,0.0,0.03484392719021685,0.0,0.011822046725252146,0.0
56,2020-03-13,AL,1.0,0.0,0.0,0.0,0.0,0.0,3337357,27,Alagoas,0.0299638306600103,0.0,0.0,0.0,0.0,0.0
57,2020-03-13,AM,2.0,0.0,2.0,0.0,0.0,0.0,4144597,13,Amazonas,0.04825559638247096,0.0,0.04825559638247096,0.0,0.0,0.0
58,2020-03-13,BA,7.0,0.0,4.0,0.0,0.42857142857142855,0.0,14873064,29,Bahia,0.04706494909186164,0.0,0.026894256623920934,0.0,0.0028815274954201,0.0
59,2020-03-13,DF,2.0,0.0,0.0,0.0,0.2857142857142857,0.0,3015268,53,Distrito Federal,0.0663290957885004,0.0,0.0,0.0,0.009475585112642912,0.0
60,2020-03-13,GO,3.0,0.0,0.0,0.0,0.0,0.0,7018354,52,Goiás,0.04274506529593691,0.0,0.0,0.0,0.0,0.0
61,2020-03-13,MG,2.0,0.0,0.0,0.0,0.0,0.0,21168791,31,Minas Gerais,0.009447870688505547,0.0,0.0,0.0,0.0,0.0
62,2020-03-13,PE,2.0,0.0,0.0,0.0,0.0,0.0,9557071,26,Pernambuco,0.020926913695629133,0.0,0.0,0.0,0.0,0.0
63,2020-03-13,PR,6.0,0.0,0.0,0.0,0.0,0.0,11433957,41,Paraná,0.05247527168415973,0.0,0.0,0.0,0.0,0.0
64,2020-03-13,RJ,15.0,0.0,0.0,0.0,1.7142857142857142,0.0,17264943,33,Rio de Janeiro,0.08688125990337761,0.0,0.0,0.0,0.009929286846100298,0.0
65,2020-03-13,RN,1.0,0.0,0.0,0.0,0.0,0.0,3506853,24,Rio Grande do Norte,0.028515595036347402,0.0,0.0,0.0,0.0,0.0
66,2020-03-13,RS,4.0,0.0,0.0,0.0,0.0,0.0,11377239,43,Rio Grande do Sul,0.035157914850870234,0.0,0.0,0.0,0.0,0.0
67,2020-03-13,SC,3.0,0.0,1.0,0.0,0.0,0.0,7164788,42,Santa Catarina,0.04187144127642018,0.0,0.01395714709214006,0.0,0.0,0.0
68,2020-03-13,SP,46.0,0.0,0.0,0.0,5.571428571428572,0.0,45919049,35,São Paulo,0.10017629067187345,0.0,0.0,0.0,0.01213315321802194,0.0
69,2020-03-14,AL,1.0,0.0,0.0,0.0,0.14285714285714285,0.0,3337357,27,Alagoas,0.0299638306600103,0.0,0.0,0.0,0.0042805472371443285,0.0
70,2020-03-14,AM,2.0,0.0,0.0,0.0,0.0,0.0,4144597,13,Amazonas,0.04825559638247096,0.0,0.0,0.0,0.0,0.0
71,2020-03-14,BA,7.0,0.0,0.0,0.0,0.2857142857142857,0.0,14873064,29,Bahia,0.04706494909186164,0.0,0.0,0.0,0.0019210183302800666,0.0
72,2020-03-14,DF,8.0,0.0,6.0,0.0,1.0,0.0,3015268,53,Distrito Federal,0.2653163831540016,0.0,0.19898728736550117,0.0,0.0331645478942502,0.0
73,2020-03-14,GO,4.0,0.0,1.0,0.0,0.0,0.0,7018354,52,Goiás,0.05699342039458255,0.0,0.014248355098645638,0.0,0.0,0.0
74,2020-03-14,MG,4.0,0.0,2.0,0.0,0.14285714285714285,0.0,21168791,31,Minas Gerais,0.018895741377011093,0.0,0.009447870688505547,0.0,0.0006748479063218247,0.0
75,2020-03-14,MS,2.0,0.0,2.0,0.0,0.0,0.0,2778986,50,Mato Grosso do Sul,0.0719686964957722,0.0,0.0719686964957722,0.0,0.0,0.0
76,2020-03-14,PE,6.0,0.0,4.0,0.0,0.0,0.0,9557071,26,Pernambuco,0.0627807410868874,0.0,0.041853827391258265,0.0,0.0,0.0
77,2020-03-14,PR,6.0,0.0,0.0,0.0,0.0,0.0,11433957,41,Paraná,0.05247527168415973,0.0,0.0,0.0,0.0,0.0
78,2020-03-14,RJ,15.0,0.0,0.0,0.0,1.7142857142857142,0.0,17264943,33,Rio de Janeiro,0.08688125990337761,0.0,0.0,0.0,0.009929286846100298,0.0
79,2020-03-14,RN,1.0,0.0,0.0,0.0,0.0,0.0,3506853,24,Rio Grande do Norte,0.028515595036347402,0.0,0.0,0.0,0.0,0.0
