,data,cod_rgint,total_casos,total_obitos,novos_casos,novos_obitos,mm_7dias_novos_casos,mm_7dias_novos_obitos,pop,nome_rgint,cod_uf,estado,total_casos%,total_obitos%,novos_casos%,novos_obitos%,mm_7dias_novos_casos%,mm_7dias_novos_obitos%
0,2020-02-25,3501,1.0,0.0,1.0,0.0,0.0,0.0,23628846,São Paulo,35,São Paulo,0.004232115271308637,0.0,0.004232115271308637,0.0,0.0,0.0
1,2020-02-26,3501,1.0,0.0,0.0,0.0,0.0,0.0,23628846,São Paulo,35,São Paulo,0.004232115271308637,0.0,0.0,0.0,0.0,0.0
2,2020-02-27,3501,1.0,0.0,0.0,0.0,0.0,0.0,23628846,São Paulo,35,São Paulo,0.004232115271308637,0.0,0.0,0.0,0.0,0.0
3,2020-02-28,3501,2.0,0.0,1.0,0.0,0.0,0.0,23628846,São Paulo,35,São Paulo,0.008464230542617274,0.0,0.004232115271308637,0.0,0.0,0.0
4,2020-02-29,3501,2.0,0.0,0.0,0.0,0.0,0.0,23628846,São Paulo,35,São Paulo,0.008464230542617274,0.0,0.0,0.0,0.0,0.0
5,2020-03-01,3501,2.0,0.0,0.0,0.0,0.0,0.0,23628846,São Paulo,35,São Paulo,0.008464230542617274,0.0,0.0,0.0,0.0,0.0
6,2020-03-02,3501,2.0,0.0,0.0,0.0,0.2857142857142857,0.0,23628846,São Paulo,35,São Paulo,0.008464230542617274,0.0,0.0,0.0,0.0012091757918024676,0.0
7,2020-03-03,3501,2.0,0.0,0.0,0.0,0.14285714285714285,0.0,23628846,São Paulo,35,São Paulo,0.008464230542617274,0.0,0.0,0.0,0.0006045878959012338,0.0
8,2020-03-04,3501,3.0,0.0,1.0,0.0,0.2857142857142857,0.0,23628846,São Paulo,35,São Paulo,0.01269634581392591,0.0,0.004232115271308637,0.0,0.0012091757918024676,0.0
9,2020-03-05,3302,1.0,0.0,1.0,0.0,0.0,0.0,1036517,Volta Redonda - Barra Mansa,33,Rio de Janeiro,0.09647695117397978,0.0,0.09647695117397978,0.0,0.0,0.0
10,2020-03-05,3501,6.0,0.0,3.0,0.0,0.7142857142857143,0.0,23628846,São Paulo,35,São Paulo,0.02539269162785182,0.0,0.01269634581392591,0.0,0.0030229394795061697,0.0
11,2020-03-06,2910,1.0,0.0,1.0,0.0,0.0,0.0,2338473,Feira de Santana,29,Bahia,0.04276294830002313,0.0,0.04276294830002313,0.0,0.0,0.0
12,2020-03-06,3301,1.0,0.0,1.0,0.0,0.0,0.0,13165821,Rio de Janeiro,33,Rio de Janeiro,0.007595424546634805,0.0,0.007595424546634805,0.0,0.0,0.0
13,2020-03-06,3302,1.0,0.0,0.0,0.0,0.0,0.0,1036517,Volta Redonda - Barra Mansa,33,Rio de Janeiro,0.09647695117397978,0.0,0.0,0.0,0.0,0.0
14,2020-03-06,3501,6.0,0.0,0.0,0.0,0.5714285714285714,0.0,23628846,São Paulo,35,São Paulo,0.02539269162785182,0.0,0.0,0.0,0.0024183515836049352,0.0
15,2020-03-07,2910,2.0,0.0,1.0,0.0,0.0,0.0,2338473,Feira de Santana,29,Bahia,0.08552589660004627,0.0,0.04276294830002313,0.0,0.0,0.0
